어종,상세어종,일자,예측단가($),,어종,상세어종,일자,예측단가($),,어종,상세어종,일자,예측단가($)
오징어,오징어,2021-01-04,,,연어,연어,2021-01-04,,,새우,흰다리새우,2021-01-04,
,,2021-01-11,,,,,2021-01-11,,,,,2021-01-11,
,,2021-01-18,,,,,2021-01-18,,,,,2021-01-18,
,,2021-01-25,,,,,2021-01-25,,,,,2021-01-25,
,,2021-02-01,,,,,2021-02-01,,,,,2021-02-01,
,,2021-02-08,,,,,2021-02-08,,,,,2021-02-08,
,,2021-02-15,,,,,2021-02-15,,,,,2021-02-15,
,,2021-02-22,,,,,2021-02-22,,,,,2021-02-22,
,,2021-03-01,,,,,2021-03-01,,,,,2021-03-01,
,,2021-03-08,,,,,2021-03-08,,,,,2021-03-08,
,,2021-03-15,,,,,2021-03-15,,,,,2021-03-15,
,,2021-03-22,,,,,2021-03-22,,,,,2021-03-22,
,,2021-03-29,,,,,2021-03-29,,,,,2021-03-29,
,,2021-04-05,,,,,2021-04-05,,,,,2021-04-05,
,,2021-04-12,,,,,2021-04-12,,,,,2021-04-12,
,,2021-04-19,,,,,2021-04-19,,,,,2021-04-19,
,,2021-04-26,,,,,2021-04-26,,,,,2021-04-26,
,,2021-05-03,,,,,2021-05-03,,,,,2021-05-03,
,,2021-05-10,,,,,2021-05-10,,,,,2021-05-10,
,,2021-05-17,,,,,2021-05-17,,,,,2021-05-17,
,,2021-05-24,,,,,2021-05-24,,,,,2021-05-24,
,,2021-05-31,,,,,2021-05-31,,,,,2021-05-31,
,,2021-06-07,,,,,2021-06-07,,,,,2021-06-07,
,,2021-06-14,,,,,2021-06-14,,,,,2021-06-14,
,,2021-06-21,,,,,2021-06-21,,,,,2021-06-21,
,,2021-06-28,,,,,2021-06-28,,,,,2021-06-28,
